C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,ANNO,MES,ARALEXCATE,ARALEXOSTE,ARALEXTAMA,ARDINOACUM,ARDINOACUT,ARPROTRETI,ARPSEUAUST,ARPSEUPSEU
10,L01,1,CRUCERO 1,2006-05-19,2006,MAYO,0,0,,1,0,0,3,2
10,L02,1,CRUCERO 1,2006-05-19,2006,MAYO,0,0,,2,1,0,1,0
10,L02N1,1,CRUCERO 1,2006-05-18,2006,MAYO,0,0,,3,0,0,2,0
10,L02N2,1,CRUCERO 1,2006-05-18,2006,MAYO,0,0,,3,1,0,2,0
10,L02N3,1,CRUCERO 1,2006-05-18,2006,MAYO,0,0,,3,0,0,2,0
10,L03,1,CRUCERO 1,2006-05-20,2006,MAYO,0,0,,1,0,0,3,1
10,L04,1,CRUCERO 1,2006-05-20,2006,MAYO,0,0,,0,0,0,3,2
10,L05,1,CRUCERO 1,2006-05-04,2006,MAYO,0,0,,1,0,0,2,2
10,L05N1,1,CRUCERO 1,2006-05-14,2006,MAYO,0,0,,0,0,0,1,0
10,L06,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,1,0,0,2,1
10,L06N1,1,CRUCERO 1,2006-05-19,2006,MAYO,0,0,,2,0,0,2,1
10,L07,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,1,0,0,0,0
10,L08,1,CRUCERO 1,2006-05-05,2006,MAYO,0,0,,1,0,0,0,1
10,L09,1,CRUCERO 1,2006-05-05,2006,MAYO,0,0,,1,0,0,1,2
10,L10,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,1,0,0,1,1
10,L10N1,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,0,0,0,0,0
10,L10N2,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,1,0,0,0,1
10,L11,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,1,0,0,0,0
10,L12,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,1,0,0,0,0
10,L13,1,CRUCERO 1,2006-05-07,2006,MAYO,0,0,,1,0,0,1,1
10,L14,1,CRUCERO 1,2006-05-06,2006,MAYO,0,0,,1,1,0,1,1
10,L15,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,6,0,0,0,1
10,L16,1,CRUCERO 1,2006-05-09,2006,MAYO,0,0,,1,0,0,1,1
10,L17,1,CRUCERO 1,2006-05-09,2006,MAYO,0,0,,1,0,0,0,0
10,L18,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,0,2
10,L18N1,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,1,1
10,L18N2,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,1,0,0,1,3
10,L04N1,1,CRUCERO 1,2006-05-03,2006,MAYO,0,0,,2,0,0,0,2
10,L19,1,CRUCERO 1,2006-05-08,2006,MAYO,0,0,,1,0,0,1,0
10,L19N1,1,CRUCERO 1,2006-05-11,2006,MAYO,0,0,,1,0,0,1,2
10,L19N2,1,CRUCERO 1,2006-05-11,2006,MAYO,0,0,,1,0,0,2,0
10,L20,1,CRUCERO 1,2006-05-11,2006,MAYO,0,0,,1,0,0,1,1
10,L22,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,1,1
10,L23,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,0,0,0,1,1
10,L24,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,1,0,0,1,2
11,A01,1,CRUCERO 1,2006-05-12,2006,MAYO,0,0,,1,1,0,4,4
11,A02,1,CRUCERO 1,2006-05-13,2006,MAYO,0,0,,1,1,0,5,5
11,A04,1,CRUCERO 1,2006-05-17,2006,MAYO,0,0,,0,1,0,3,4
11,A05,1,CRUCERO 1,2006-05-14,2006,MAYO,0,0,,0,0,0,3,5
11,A06,1,CRUCERO 1,2006-05-18,2006,MAYO,0,0,,1,1,0,2,4
