C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,AÑO,CL_0,CL_5,CL_10,CL_20,CL_30,CL_40,CL_50,CL_75,CL_100
11,A01,1,CRUCERO 1,2006/05/12,MAYO,2006,,,4.4,,,,,,
11,A02,1,CRUCERO 1,2006/05/13,MAYO,2006,,,5.7,,,,,,
11,A04,1,CRUCERO 1,2006/05/17,MAYO,2006,,,1,,,,,,
11,A05,1,CRUCERO 1,2006/05/14,MAYO,2006,,,2.3,,,,,,
11,A06,1,CRUCERO 1,2006/05/18,MAYO,2006,,,1.6,,,,,,
11,A07,1,CRUCERO 1,2006/05/18,MAYO,2006,,,2.9,,,,,,
11,A08,1,CRUCERO 1,2006/05/18,MAYO,2006,,,1.1,,,,,,
11,A09,1,CRUCERO 1,2006/05/18,MAYO,2006,,,1.4,,,,,,
11,A10,1,CRUCERO 1,2006/05/18,MAYO,2006,,,1.1,,,,,,
11,A11,1,CRUCERO 1,2006/05/18,MAYO,2006,,,3,,,,,,
11,A12,1,CRUCERO 1,2006/05/19,MAYO,2006,,,3,,,,,,
11,A13,1,CRUCERO 1,2006/05/19,MAYO,2006,,,3,,,,,,
11,A14,1,CRUCERO 1,2006/05/19,MAYO,2006,,,5,,,,,,
11,A15,1,CRUCERO 1,2006/05/19,MAYO,2006,,,6.2,,,,,,
11,A16,1,CRUCERO 1,2006/05/19,MAYO,2006,,,9.3,,,,,,
11,A17,1,CRUCERO 1,2006/05/19,MAYO,2006,,,8.4,,,,,,
11,A18,1,CRUCERO 1,2006/05/21,MAYO,2006,,,7.7,,,,,,
11,A19,1,CRUCERO 1,2006/05/20,MAYO,2006,,,7.4,,,,,,
11,A20,1,CRUCERO 1,2006/05/20,MAYO,2006,,,9.1,,,,,,
11,A21,1,CRUCERO 1,2006/05/21,MAYO,2006,,,6,,,,,,
11,A22,1,CRUCERO 1,2006/05/21,MAYO,2006,,,5.5,,,,,,
11,A23,1,CRUCERO 1,2006/05/22,MAYO,2006,,,9.4,,,,,,
11,A24,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A25,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A26,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.8,,,,,,
11,A27,1,CRUCERO 1,2006/05/22,MAYO,2006,,,1,,,,,,
11,A28,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A29,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A30,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A31,1,CRUCERO 1,2006/05/21,MAYO,2006,,,0.1,,,,,,
11,A32,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A33,1,CRUCERO 1,2006/05/16,MAYO,2006,,,3.1,,,,,,
11,A34,1,CRUCERO 1,2006/05/14,MAYO,2006,,,3.5,,,,,,
11,A35,1,CRUCERO 1,2006/05/21,MAYO,2006,,,7.3,,,,,,
11,A36,1,CRUCERO 1,2006/05/21,MAYO,2006,,,10.6,,,,,,
11,A37,1,CRUCERO 1,2006/05/22,MAYO,2006,,,1.4,,,,,,
11,A38,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A39,1,CRUCERO 1,2006/05/22,MAYO,2006,,,2.7,,,,,,
11,A40,1,CRUCERO 1,2006/05/22,MAYO,2006,,,2,,,,,,
11,A41,1,CRUCERO 1,2006/05/22,MAYO,2006,,,1.5,,,,,,
11,A42,1,CRUCERO 1,2006/05/01,MAYO,2006,,,1.5,,,,,,
11,A43,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.1,,,,,,
11,A44,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.5,,,,,,
11,A45,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.1,,,,,,
11,A46,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A47,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.1,,,,,,
11,A48,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.1,,,,,,
11,A49,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.5,,,,,,
11,A50,1,CRUCERO 1,2006/05/22,MAYO,2006,,,1.1,,,,,,
11,A51,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A52,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A53,1,CRUCERO 1,2006/05/22,MAYO,2006,,,0.1,,,,,,
11,A54,1,CRUCERO 1,2006/05/01,MAYO,2006,,,0.1,,,,,,
10,L01,1,CRUCERO 1,2006/05/19,MAYO,2006,,,0.533333333,,,,,,
10,L02,1,CRUCERO 1,2006/05/19,MAYO,2006,,,0.36,,,,,,
10,L02N1,1,CRUCERO 1,2006/05/18,MAYO,2006,,,0.873333333,0.56,,,,,
10,L02N2,1,CRUCERO 1,2006/05/18,MAYO,2006,,,0.413333333,0.51,,,,,
10,L02N3,1,CRUCERO 1,2006/05/18,MAYO,2006,,,0.533333333,0.625,,,,,
10,L03,1,CRUCERO 1,2006/05/20,MAYO,2006,,,0.183333333,0.145,,,,,
10,L04,1,CRUCERO 1,2006/05/20,MAYO,2006,,,0.37,0.425,,,,,
10,L05,1,CRUCERO 1,2006/05/04,MAYO,2006,,,1.486666667,,,,,,
10,L06,1,CRUCERO 1,2006/05/13,MAYO,2006,,,2.346666667,2.395,,,,,
10,L06N1,1,CRUCERO 1,2006/05/19,MAYO,2006,,,0.293333333,0.375,,,,,
10,L08,1,CRUCERO 1,2006/05/05,MAYO,2006,,,1.703333333,,,,,,
10,L09,1,CRUCERO 1,2006/05/05,MAYO,2006,,,4.023333333,,,,,,
10,L10,1,CRUCERO 1,2006/05/06,MAYO,2006,,,1.04,0.69,,,,,
10,L12,1,CRUCERO 1,2006/05/07,MAYO,2006,,,0.48,,,,,,
10,L14,1,CRUCERO 1,2006/05/06,MAYO,2006,,,1.036666667,,,,,,
10,L15,1,CRUCERO 1,2006/05/03,MAYO,2006,,,0.956666667,0.56,,,,,
10,L16,1,CRUCERO 1,2006/05/09,MAYO,2006,,,1.096666667,,,,,,
10,L17,1,CRUCERO 1,2006/05/09,MAYO,2006,,,1.236666667,,,,,,
10,L18,1,CRUCERO 1,2006/05/03,MAYO,2006,,,1.28,1.165,,,,,
10,L18N2,1,CRUCERO 1,2006/05/03,MAYO,2006,,,0.623333333,0.45,,,,,
10,L19,1,CRUCERO 1,2006/05/08,MAYO,2006,,,0.77,0.77,,,,,
10,L19N1,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.743333333,,,,,,
10,L19N2,1,CRUCERO 1,2006/05/11,MAYO,2006,,,1.853333333,0.86,,,,,
10,L20,1,CRUCERO 1,2006/05/11,MAYO,2006,,,0.446666667,0.69,,,,,
10,L22,1,CRUCERO 1,2006/05/12,MAYO,2006,,,0.763333333,,,,,,
10,L23,1,CRUCERO 1,2006/05/12,MAYO,2006,,,0.476666667,0.525,,,,,
