C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,ANNO,MES,OX_0,OX_5,OX_10,OX_20,OX_30,OX_40,OX_50,OX_75,OX_100
12,M05,1,CRUCERO 1,2008/12/04,2008,DICIEMBRE,10.1,10.1,9.6,7.5,7.5,7.6,6.9,,
12,M06,1,CRUCERO 1,2008/12/04,2008,DICIEMBRE,8.5,8.6,7.9,7.8,7.5,7.3,7.1,,
12,M1N,1,CRUCERO 1,2008/12/04,2008,DICIEMBRE,8.9,8.2,8.1,8.3,8.3,7.8,7.2,,
12,M2N,1,CRUCERO 1,2008/12/04,2008,DICIEMBRE,8.9,8.3,8.1,8.2,8.1,7.8,7.5,,
12,M3N,1,CRUCERO 1,2008/12/04,2008,DICIEMBRE,8.9,8.3,8.2,8.2,8.1,7.6,7.5,,
12,M07,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,9.3,9.4,9.2,8.7,8.1,7.4,6.7,,
12,M24N,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,9.9,9.9,9.7,9,8.1,7.8,7.5,,
12,M08,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,10.2,9.8,8.9,8.8,8.6,8.4,8,,
12,M25N,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,10.2,10,8.8,8.9,8.7,8.5,,,
12,M09,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,10,10.1,9.7,8.9,8.6,8.5,8,,
12,M10,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,9.4,9.3,9.1,9.4,8.8,8.5,8.5,,
12,M11,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,9.5,9.6,9.5,9.2,8.8,7.9,7.5,,
12,M12,1,CRUCERO 1,2008/12/03,2008,DICIEMBRE,10,10.2,9.6,8,6.7,6.6,6.6,,
12,M13,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,10,9.6,9.4,8.4,8.3,8.2,8.3,,
12,M14,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,10.7,10.7,10.1,7.6,7,6.9,,,
12,M15,1,CRUCERO 1,2008/12/02,2008,DICIEMBRE,9.9,10,10,9.3,7,7,7,,
12,M16,1,CRUCERO 1,2008/12/02,2008,DICIEMBRE,10.3,10.2,10.4,9.9,7.5,6.9,7,,
12,M17,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,9.9,9.7,9.8,9.7,8.6,7,6.7,,
12,M18,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,10.4,10.4,10.3,9.6,9.3,6.6,,,
12,M19,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,10.1,9.8,9.8,9.6,8.6,7.1,6.8,6.7,
12,M20,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,10,10.1,10,9.7,8,7.4,6.9,,
12,M21,1,CRUCERO 1,2008/12/05,2008,DICIEMBRE,10.6,10.7,10.7,8,6.9,6.6,6.6,,
12,M22,1,CRUCERO 1,2008/12/06,2008,DICIEMBRE,9.9,9.9,9.8,7.1,6.2,6.5,6.5,6.5,
12,M23,1,CRUCERO 1,2008/12/06,2008,DICIEMBRE,10.2,10.2,10,9.2,9,8,7.5,,
12,M24,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,9.6,9.5,9.4,9,8.6,8.4,8.3,,
12,M25,1,CRUCERO 1,2008/12/23,2008,DICIEMBRE,9.9,9.9,9.7,9.3,9,8.8,8.4,,
12,M26,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,9.8,9.7,9.7,9.5,9.1,,,,
12,M27,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,8.8,8.9,8.9,8.9,8.9,8.5,8.5,,
12,M28,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,8.7,8.7,8.6,8.7,8.8,8.8,,,
12,M29,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,9.9,9.8,9.5,9.3,9.2,,,,
12,M30,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,10,10,10,9.6,9.2,,,,
12,M31,1,CRUCERO 1,2008/12/22,2008,DICIEMBRE,10.5,10.5,10.5,9.5,9,,,,
12,M32,1,CRUCERO 1,2008/12/21,2008,DICIEMBRE,9.9,9.8,9.7,9.8,9.7,,,,
12,M33,1,CRUCERO 1,2008/12/21,2008,DICIEMBRE,10.7,10.7,10.6,10.2,10,9.9,9.9,9.6,
12,M34,1,CRUCERO 1,2008/12/21,2008,DICIEMBRE,9.8,9.5,9.5,9.2,9.2,9.2,,,
12,M35,1,CRUCERO 1,2008/12/21,2008,DICIEMBRE,10.7,10.7,10.5,10.2,,,,,
12,M36,1,CRUCERO 1,2009/01/06,2009,ENERO,9.5,9.5,9.5,9.4,9.3,9.4,,,
12,M37,1,CRUCERO 1,2009/01/06,2009,ENERO,10.4,10.5,10.2,9.7,,,,,
12,M38,1,CRUCERO 1,2009/01/12,2009,ENERO,9.6,9.6,9.4,9.4,9.3,,,,
12,M39,1,CRUCERO 1,2009/01/12,2009,ENERO,9.7,9.5,9.6,8.7,,,,,
12,M40,1,CRUCERO 1,2008/12/16,2008,DICIEMBRE,10.7,10.5,10.3,10.2,10.2,10.1,10.1,,
12,M41,1,CRUCERO 1,2008/12/16,2008,DICIEMBRE,10.6,10.4,10.2,10.1,10.1,9.8,9.5,,
12,M42,1,CRUCERO 1,2008/12/17,2008,DICIEMBRE,10.7,10.4,10.2,10.1,10,9.7,9.3,,
12,M43,1,CRUCERO 1,2008/12/17,2008,DICIEMBRE,10.2,10.4,10.3,9.9,9.6,9.7,9.7,,
12,M44,1,CRUCERO 1,2008/12/17,2008,DICIEMBRE,10.5,10.3,10.2,10,9.9,9.6,,,
12,M45,1,CRUCERO 1,2008/12/17,2008,DICIEMBRE,10.4,10.2,10.1,9.9,9.9,,,,
12,M46,1,CRUCERO 1,2008/12/17,2008,DICIEMBRE,10.4,10.2,10.1,9.9,9.9,,,,
10,L01,1,CRUCERO 10,2010/01/08,2010,ENERO,9.86,11.09,7.4,5.91,,,,,
10,L02,1,CRUCERO 10,2010/01/06,2010,ENERO,9.5,8.68,6.88,4.95,4.4,,,,
10,L02N1,1,CRUCERO 10,2010/01/06,2010,ENERO,7.69,8.66,7.21,5.03,4.5,,,,
10,L02N2,1,CRUCERO 10,2010/01/06,2010,ENERO,7.67,9.56,6.57,4.45,4,3.51,3.4,3.38,
10,L02N3,1,CRUCERO 10,2010/01/06,2010,ENERO,9.38,8.95,7.3,5.13,,,,,
10,L02N4,1,CRUCERO 10,2010/01/06,2010,ENERO,9.38,10.43,6.37,4.33,3.88,,,,
10,L03,1,CRUCERO 10,2010/01/04,2010,ENERO,9.11,7.38,5.71,5.94,5.52,,,,
10,L03N1,1,CRUCERO 10,2010/01/06,2010,ENERO,9.17,9.01,7.53,5.42,,,,,
10,L04,1,CRUCERO 10,2010/01/05,2010,ENERO,9.19,9.22,9.18,7.49,,,,,
10,L05,1,CRUCERO 10,2010/01/04,2010,ENERO,6.78,7.19,,,,,,,
10,L06,1,CRUCERO 10,2010/01/05,2010,ENERO,6.91,6.78,6.67,6.34,,,,,
10,L06N1,1,CRUCERO 10,2010/01/04,2010,ENERO,9.57,8.64,6.58,5.41,,,,,
10,L07,1,CRUCERO 10,2009/12/21,2009,DICIEMBRE,5.77,8.6,6.27,7.45,,,,,
10,L08,1,CRUCERO 10,2009/12/22,2009,DICIEMBRE,8.58,7.59,7.36,6.95,,,,,
10,L09,1,CRUCERO 10,2009/12/22,2009,DICIEMBRE,8.33,6.07,6.16,7.41,,,,,
10,L10,1,CRUCERO 10,2009/12/29,2009,DICIEMBRE,7.49,7.27,7.23,7.08,,,,,
10,L10N1,1,CRUCERO 10,2009/12/28,2009,DICIEMBRE,6.84,6.78,6.79,6.47,,,,,
10,L10N2,1,CRUCERO 10,2009/12/28,2009,DICIEMBRE,7.44,6.9,6.93,6.67,,,,,
10,L10N3,1,CRUCERO 10,2009/12/29,2009,DICIEMBRE,7.97,7.35,6.75,6.27,,,,,
10,L11,1,CRUCERO 10,2009/12/21,2009,DICIEMBRE,7.9,7.54,7.53,6.88,,,,,
10,L12,1,CRUCERO 10,2009/12/28,2009,DICIEMBRE,7.7,7.77,7.11,6.97,,,,,
10,L13,1,CRUCERO 10,2009/12/28,2009,DICIEMBRE,6.72,6.68,6.85,6.96,,,,,
10,L14,1,CRUCERO 10,2009/12/28,2009,DICIEMBRE,6.61,6.81,6.76,6.75,6.71,6.66,6.65,6.5,
10,L16,1,CRUCERO 10,2009/12/08,2009,DICIEMBRE,9.03,8.73,8.16,8.12,,,,,
10,L16N1,1,CRUCERO 10,2009/12/08,2009,DICIEMBRE,9.62,9.13,9.12,8.74,,,,,
10,L17,1,CRUCERO 10,2009/12/07,2009,DICIEMBRE,8.24,9.3,8.2,7.82,,,,,
10,L17N1,1,CRUCERO 10,2009/12/07,2009,DICIEMBRE,7.87,7.17,7.15,7.1,,,,,
10,L19,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,8.85,8.42,8.2,8.07,,,,,
10,L19N1,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,9.1,9.02,8.6,8.21,,,,,
10,L19N2,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,8.67,8.23,7.97,7.9,,,,,
10,L20,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,9.15,8.89,8.15,8.11,,,,,
10,L20N1,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,8.95,7.96,7.7,7.52,,,,,
10,L21,1,CRUCERO 10,2009/12/07,2009,DICIEMBRE,9.11,9.16,9.17,8.63,,,,,
10,L22,1,CRUCERO 10,2009/12/06,2009,DICIEMBRE,8.43,7.84,7.94,7.92,,,,,
10,L22N1,1,CRUCERO 10,2009/12/06,2009,DICIEMBRE,8.9,8.3,7.86,7.55,,,,,
10,L22N2,1,CRUCERO 10,2009/12/06,2009,DICIEMBRE,7.56,6.78,6.58,6.52,,,,,
10,L23,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,8.47,8.44,8.17,7.86,7.63,7.51,7.48,7.47,
10,L23N1,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,8.47,8.13,7.84,7.64,,,,,
10,L23N2,1,CRUCERO 10,2009/12/05,2009,DICIEMBRE,8.25,8.05,8.08,7.66,,,,,
10,L24,1,CRUCERO 10,2009/12/06,2009,DICIEMBRE,8.72,8.92,7.77,7.58,7.31,6.56,6.55,,
10,L24N1,1,CRUCERO 10,2009/12/06,2009,DICIEMBRE,9.16,8.55,8.59,8.29,,,,,
