C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,AÑO,S_0,S_5,S_10,S_20,S_30,S_40,S_50,S_75,S_100
10,L01,1,CRUCERO 1,2006/05/19,MAYO,2006,25.7,32.4,32.7,,,,,,
10,L02,1,CRUCERO 1,2006/05/19,MAYO,2006,6.4,28.6,30,,,,,,
10,L02N1,1,CRUCERO 1,2006/05/18,MAYO,2006,6.6,22.9,30.7,32.7,32.9,,,,
10,L02N2,1,CRUCERO 1,2006/05/18,MAYO,2006,6.1,22.8,30.2,32.2,32.8,32.9,33,33.1,33.1
10,L02N3,1,CRUCERO 1,2006/05/18,MAYO,2006,8.5,24.1,31,32.1,,,,,
10,L03,1,CRUCERO 1,2006/05/20,MAYO,2006,26.9,32.6,32.8,32.9,33,33,33,,
10,L04,1,CRUCERO 1,2006/05/20,MAYO,2006,29,32.8,32.8,33,33.1,,,,
10,L05,1,CRUCERO 1,2006/05/04,MAYO,2006,31.1,32.9,32.8,,,,,,
10,L06,1,CRUCERO 1,2006/05/13,MAYO,2006,32.6,32.6,32.6,32.6,,,,,
10,L06N1,1,CRUCERO 1,2006/05/19,MAYO,2006,21.1,31.3,32.1,32.8,,,,,
10,L07,1,CRUCERO 1,2006/05/07,MAYO,2006,30.4,32.5,,,,,,,
10,L08,1,CRUCERO 1,2006/05/05,MAYO,2006,31.7,31.7,,,,,,,
10,L09,1,CRUCERO 1,2006/05/05,MAYO,2006,30.8,31.2,31.2,,,,,,
10,L10,1,CRUCERO 1,2006/05/06,MAYO,2006,31,31.9,32.5,32.7,,,,,
10,L10N1,1,CRUCERO 1,2006/05/06,MAYO,2006,,,,,,,,,
10,L10N2,1,CRUCERO 1,2006/05/06,MAYO,2006,32.3,32.4,32.6,,,,,,
10,L11,1,CRUCERO 1,2006/05/07,MAYO,2006,,,,,,,,,
10,L12,1,CRUCERO 1,2006/05/07,MAYO,2006,33,33.4,,,,,,,
10,L13,1,CRUCERO 1,2006/05/07,MAYO,2006,,,,,,,,,
10,L14,1,CRUCERO 1,2006/05/06,MAYO,2006,33.1,33.2,32.8,32.9,33.1,33.1,33.1,,
10,L15,1,CRUCERO 1,2006/05/03,MAYO,2006,33.4,33.4,33.4,33.4,,,,,
10,L16,1,CRUCERO 1,2006/05/09,MAYO,2006,27.8,33.5,33.5,,,,,,
10,L17,1,CRUCERO 1,2006/05/09,MAYO,2006,30.1,32.7,32.8,,,,,,
10,L18,1,CRUCERO 1,2006/05/03,MAYO,2006,27,33.2,33.2,33.3,,,,,
10,L18N2,1,CRUCERO 1,2006/05/03,MAYO,2006,32,33,33.1,33.2,,,,,
10,L04N1,1,CRUCERO 1,2006/05/03,MAYO,2006,30.9,33.1,33.2,,,,,,
10,L19,1,CRUCERO 1,2006/05/08,MAYO,2006,29,33.1,33.1,33.1,,,,,
10,L19N1,1,CRUCERO 1,2006/05/11,MAYO,2006,33.1,33.3,,,,,,,
10,L19N2,1,CRUCERO 1,2006/05/11,MAYO,2006,32.8,33,33.4,33.6,,,,,
10,L20,1,CRUCERO 1,2006/05/11,MAYO,2006,30.6,33.4,33.4,,,,,,
10,L22,1,CRUCERO 1,2006/05/12,MAYO,2006,30.7,33.7,33.7,,,,,,
10,L23,1,CRUCERO 1,2006/05/12,MAYO,2006,33.3,33.7,33.8,33.8,33.8,33.8,33.8,,
10,L24,1,CRUCERO 1,2006/05/12,MAYO,2006,33.6,33.7,33.7,33.8,33.8,,,,
11,A01,1,CRUCERO 1,2006/05/12,MAYO,2006,30.99,,,,,,,,
11,A02,1,CRUCERO 1,2006/05/13,MAYO,2006,29.985,,,,,,,,
11,A04,1,CRUCERO 1,2006/05/17,MAYO,2006,31.725,,,,,,,,
11,A05,1,CRUCERO 1,2006/05/14,MAYO,2006,31.2,,,,,,,,
11,A06,1,CRUCERO 1,2006/05/18,MAYO,2006,16.77,,,,,,,,
11,A07,1,CRUCERO 1,2006/05/18,MAYO,2006,16.3,,,,,,,,
11,A08,1,CRUCERO 1,2006/05/18,MAYO,2006,15.74,,,,,,,,
11,A09,1,CRUCERO 1,2006/05/18,MAYO,2006,27.695,,,,,,,,
11,A10,1,CRUCERO 1,2006/05/18,MAYO,2006,27.78,,,,,,,,
11,A11,1,CRUCERO 1,2006/05/18,MAYO,2006,29.385,,,,,,,,
11,A12,1,CRUCERO 1,2006/05/19,MAYO,2006,30.445,,,,,,,,
11,A13,1,CRUCERO 1,2006/05/19,MAYO,2006,29.725,,,,,,,,
11,A14,1,CRUCERO 1,2006/05/19,MAYO,2006,29.295,,,,,,,,
11,A15,1,CRUCERO 1,2006/05/19,MAYO,2006,28.775,,,,,,,,
11,A16,1,CRUCERO 1,2006/05/19,MAYO,2006,26.7,,,,,,,,
11,A17,1,CRUCERO 1,2006/05/19,MAYO,2006,25.945,,,,,,,,
11,A18,1,CRUCERO 1,2006/05/21,MAYO,2006,30.26,,,,,,,,
11,A19,1,CRUCERO 1,2006/05/20,MAYO,2006,25.115,,,,,,,,
11,A20,1,CRUCERO 1,2006/05/20,MAYO,2006,24.93,,,,,,,,
11,A21,1,CRUCERO 1,2006/05/21,MAYO,2006,30.025,,,,,,,,
11,A22,1,CRUCERO 1,2006/05/21,MAYO,2006,29.775,,,,,,,,
11,A23,1,CRUCERO 1,2006/05/22,MAYO,2006,26.26,,,,,,,,
11,A33,1,CRUCERO 1,2006/05/16,MAYO,2006,29.445,,,,,,,,
11,A34,1,CRUCERO 1,2006/05/14,MAYO,2006,30.44,,,,,,,,
11,A35,1,CRUCERO 1,2006/05/21,MAYO,2006,29.63,,,,,,,,
11,A36,1,CRUCERO 1,2006/05/22,MAYO,2006,28.94,,,,,,,,
11,A37,1,CRUCERO 1,2006/05/22,MAYO,2006,30.73,,,,,,,,
11,A38,1,CRUCERO 1,2006/05/22,MAYO,2006,30.73,,,,,,,,
11,A39,1,CRUCERO 1,2006/05/22,MAYO,2006,29.65,,,,,,,,
11,A40,1,CRUCERO 1,2006/05/22,MAYO,2006,29.27,,,,,,,,
11,A55,1,CRUCERO 1,2006/05/02,MAYO,2006,,,,,,,,,
11,A56,1,CRUCERO 1,2006/05/02,MAYO,2006,,,,,,,,,
11,A57,1,CRUCERO 1,2006/05/03,MAYO,2006,,,,,,,,,
11,A58,1,CRUCERO 1,2006/05/03,MAYO,2006,,,,,,,,,
11,A59,1,CRUCERO 1,2006/05/03,MAYO,2006,,,,,,,,,
11,A60,1,CRUCERO 1,2006/05/03,MAYO,2006,,,,,,,,,
12,M04,1,CRUCERO 1,2006/05/09,MAYO,2006,22.2,28.26,29.21,30.55,30.8,30.87,30.92,31.02,31.41
12,M05,1,CRUCERO 1,2006/05/09,MAYO,2006,22.47,28.39,29.66,30.84,31.23,31.38,31.34,,
12,M06,1,CRUCERO 1,2006/05/08,MAYO,2006,25.09,27.37,29.33,31,31.33,31.49,31.62,,
12,M01N,1,CRUCERO 1,2006/05/10,MAYO,2006,24.47,28.41,29.15,30.09,31.36,31.45,,,
12,M02N,1,CRUCERO 1,2006/05/10,MAYO,2006,26.73,29.08,29.52,31.15,31.41,31.45,31.51,,
12,M03N,1,CRUCERO 1,2006/05/10,MAYO,2006,25.67,27.97,29.56,30.95,31.25,31.51,31.6,,
12,M07,1,CRUCERO 1,2006/05/08,MAYO,2006,27.25,27.26,28.21,30.47,31.03,31.76,31.96,,
12,M24N,1,CRUCERO 1,2006/05/09,MAYO,2006,22.35,24.81,25.48,30.44,31.16,31.53,31.79,,
12,M08,1,CRUCERO 1,2006/05/07,MAYO,2006,23.51,24.57,26.37,27.24,30.78,31.64,31.98,,
12,M25N,1,CRUCERO 1,2006/05/08,MAYO,2006,27.04,27.09,27.13,30.46,30.72,30.83,,,
12,M09,1,CRUCERO 1,2006/05/10,MAYO,2006,27.12,27.38,28.87,29.85,30.52,31.21,31.04,,
12,M10,1,CRUCERO 1,2006/05/07,MAYO,2006,26.05,26.09,27.08,30.02,30.91,31.27,31.58,,
12,M11,1,CRUCERO 1,2006/05/06,MAYO,2006,30.03,24.51,27.75,29.55,30.74,30.89,,,
12,M12,1,CRUCERO 1,2006/05/05,MAYO,2006,24.8,24.9,25.12,30.12,30.81,31.35,31.69,,
12,M13,1,CRUCERO 1,2006/05/05,MAYO,2006,25.31,25.79,26.07,29.64,30.74,31.14,31.08,,
12,M14,1,CRUCERO 1,2006/05/04,MAYO,2006,29.13,29.07,29.09,29.08,29.31,29.39,,,
12,M15,1,CRUCERO 1,2006/05/04,MAYO,2006,28.97,24.04,26.76,28.93,29.34,29.71,29.75,,
12,M16,1,CRUCERO 1,2006/05/12,MAYO,2006,24.05,24.06,24.08,24.25,28.35,31.17,31.67,,
12,M17,1,CRUCERO 1,2006/05/12,MAYO,2006,22.96,22.97,23.02,23.38,29.45,31.08,31.72,31.89,31.92
12,M18,1,CRUCERO 1,2006/05/13,MAYO,2006,22.48,22.06,22.63,23.01,30.33,31.22,31.53,,
12,M19,1,CRUCERO 1,2006/05/13,MAYO,2006,23.22,23.22,23.27,25.02,28.95,29.01,29.93,30.12,30.25
12,M20,1,CRUCERO 1,2006/05/13,MAYO,2006,23.6,23.61,23.09,24.08,28.76,28.95,28.97,,
12,M21,1,CRUCERO 1,2006/05/13,MAYO,2006,22.08,22.13,22.22,22.31,30.31,31,31.1,,
12,M22,1,CRUCERO 1,2006/05/13,MAYO,2006,21.37,21.43,24.07,22.51,24.13,29.02,30.61,30.85,30.95
12,M23,1,CRUCERO 1,2006/05/13,MAYO,2006,21.66,21.66,21.69,22.66,30.58,31.77,,,
12,M24,1,CRUCERO 1,2006/05/07,MAYO,2006,29.65,29.65,29.63,29.78,29.58,29.88,30.05,,
12,M25,1,CRUCERO 1,2006/05/07,MAYO,2006,29.32,29.54,29.54,29.54,30.24,30.24,30.54,,
12,M26,1,CRUCERO 1,2006/05/07,MAYO,2006,29.66,29.78,29.69,29.64,29.25,30.25,30.24,,
12,M27,1,CRUCERO 1,2006/05/07,MAYO,2006,29.66,29.35,29.88,30.21,30.05,30.66,30.22,30.25,30.65
12,M28,1,CRUCERO 1,2006/05/06,MAYO,2006,29.32,29.36,29.55,30.01,30.21,30.25,30.36,,
12,M29,1,CRUCERO 1,2006/05/06,MAYO,2006,29.32,29.32,29.65,30.25,30.56,30.66,30.65,,
12,M30,1,CRUCERO 1,2006/05/06,MAYO,2006,29.87,29.99,30.12,30.25,30.65,30.54,30.66,,
12,M31,1,CRUCERO 1,2006/05/06,MAYO,2006,29.99,30.21,30.22,30.31,30.22,30.14,30.05,,
12,M32,1,CRUCERO 1,2006/05/06,MAYO,2006,29.65,29.66,30.21,30.56,31.02,31.05,31.1,,
12,M33,1,CRUCERO 1,2006/05/06,MAYO,2006,29.65,29.98,30.01,30.25,30.24,30.54,30.67,30.78,30.84
12,M34,1,CRUCERO 1,2006/05/06,MAYO,2006,29.66,29.65,29.95,30.12,30.25,30.98,31.05,,
12,M35,1,CRUCERO 1,2006/05/05,MAYO,2006,29.99,30.12,30.12,30.22,30.25,30.22,30.24,30.45,30.25
12,M36,1,CRUCERO 1,2006/05/12,MAYO,2006,30.2522,30.8171,30.7928,30.6991,30.868,30.8453,30.8306,,
12,M37,1,CRUCERO 1,2006/05/12,MAYO,2006,31.3609,31.2626,31.1808,30.7162,30.3701,,,,
12,M38,1,CRUCERO 1,2006/05/12,MAYO,2006,29.5097,29.5624,29.5549,30.0044,30.0302,,,,
12,M39,1,CRUCERO 1,2006/05/12,MAYO,2006,30.2522,30.8171,30.7928,30.6991,,,,,
12,M40,1,CRUCERO 1,2006/05/24,MAYO,2006,28.57,30.39,30.44,30.56,30.74,31.24,31.58,32.31,32.55
