C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,MES,ANNO,T_C
12,M04,4,CRUCERO 1,2006/05/26,MAYO,2006,9
12,M05,4,CRUCERO 1,2006/05/26,MAYO,2006,9.7
12,M06,4,CRUCERO 1,2006/05/26,MAYO,2006,10.5
12,M01N,4,CRUCERO 1,2006/05/26,MAYO,2006,13.3
12,M02N,4,CRUCERO 1,2006/05/26,MAYO,2006,13.1
12,M03N,4,CRUCERO 1,2006/05/26,MAYO,2006,12.8
12,M07,4,CRUCERO 1,2006/05/26,MAYO,2006,11.1
12,M08,4,CRUCERO 1,2006/05/26,MAYO,2006,9.6
12,M24N,4,CRUCERO 1,2006/05/26,MAYO,2006,13.5
12,M25N,4,CRUCERO 1,2006/05/26,MAYO,2006,12.1
12,M09,4,CRUCERO 1,2006/05/26,MAYO,2006,13
12,M10,4,CRUCERO 1,2006/05/26,MAYO,2006,12.1
12,M11,4,CRUCERO 1,2006/05/26,MAYO,2006,12.6
12,M12,4,CRUCERO 1,2006/05/26,MAYO,2006,15.2
12,M13,4,CRUCERO 1,2006/05/26,MAYO,2006,10.7
12,M14,4,CRUCERO 1,2006/05/26,MAYO,2006,12.3
12,M15,4,CRUCERO 1,2006/05/26,MAYO,2006,12.6
12,M16,4,CRUCERO 1,2006/05/26,MAYO,2006,12.1
12,M23,4,CRUCERO 1,2006/05/26,MAYO,2006,12.1
12,M17,4,CRUCERO 1,2006/05/26,MAYO,2006,11.9
12,M21,4,CRUCERO 1,2006/05/26,MAYO,2006,13.1
12,M22,4,CRUCERO 1,2006/05/26,MAYO,2006,11.9
12,M18,4,CRUCERO 1,2006/05/26,MAYO,2006,13.5
12,M19,4,CRUCERO 1,2006/05/26,MAYO,2006,15.8
12,M20,4,CRUCERO 1,2006/05/26,MAYO,2006,14.6
12,M39,4,CRUCERO 1,2006/05/26,MAYO,2006,12
12,M38,4,CRUCERO 1,2006/05/26,MAYO,2006,12
12,M24,4,CRUCERO 1,2006/05/26,MAYO,2006,13
12,M25,4,CRUCERO 1,2006/05/26,MAYO,2006,11
12,M26,4,CRUCERO 1,2006/05/26,MAYO,2006,12.5
12,M27,4,CRUCERO 1,2006/05/26,MAYO,2006,13
12,M28,4,CRUCERO 1,2006/05/26,MAYO,2006,13
12,M29,4,CRUCERO 1,2006/05/26,MAYO,2006,12
12,M37,4,CRUCERO 1,2006/05/26,MAYO,2006,10
12,M30,4,CRUCERO 1,2006/05/26,MAYO,2006,10
12,M36,4,CRUCERO 1,2006/05/26,MAYO,2006,8
12,M31,4,CRUCERO 1,2006/05/26,MAYO,2006,10
12,M32,4,CRUCERO 1,2006/05/26,MAYO,2006,8
12,M35,4,CRUCERO 1,2006/05/26,MAYO,2006,8.5
12,M33,4,CRUCERO 1,2006/05/26,MAYO,2006,10
12,M34,4,CRUCERO 1,2006/05/26,MAYO,2006,10
12,M40,4,CRUCERO 1,2006/05/26,MAYO,2006,5.9
12,M41,4,CRUCERO 1,2006/05/26,MAYO,2006,4.4
12,M43,4,CRUCERO 1,2006/05/26,MAYO,2006,5.7
12,M44,4,CRUCERO 1,2006/05/26,MAYO,2006,3.7
12,M45,4,CRUCERO 1,2006/05/26,MAYO,2006,4.6
12,M46,4,CRUCERO 1,2006/05/26,MAYO,2006,8.2
12,M42,4,CRUCERO 1,2006/05/26,MAYO,2006,5.9
10,L01,4,CRUCERO 1,2006/05/20,MAYO,2006,9.98
