C_REGION,ESTACIONID,PROGRAMA,CRUCERO,FCH_CRUC,AÑO,MES,RECURSO,VDM,COD_VDM
10,L01,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,+,POSITIVO
10,L02,1,CRUCERO 1,2006/05/19,2006,MAYO,Chorito,-,NEGATIVO
10,L02N1,1,CRUCERO 1,2006/05/18,2006,MAYO,Chorito,-,NEGATIVO
10,L02N2,1,CRUCERO 1,2006/05/18,2006,MAYO,Chorito,-,NEGATIVO
10,L02N3,1,CRUCERO 1,2006/05/18,2006,MAYO,Chorito,-,NEGATIVO
10,L03,1,CRUCERO 1,2006/05/20,2006,MAYO,Chorito,+,POSITIVO
10,L03N1,1,CRUCERO 1,#N/A,#N/A,#N/A,Chorito,#N/A,SIN MUESTRA
10,L04,1,CRUCERO 1,2006/05/20,2006,MAYO,Chorito,-,NEGATIVO
10,L05,1,CRUCERO 1,2006/05/04,2006,MAYO,Chorito,-,NEGATIVO
10,L06,1,CRUCERO 1,2006/05/13,2006,MAYO,Cholga,+,POSITIVO
10,L06N1,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,+,POSITIVO
10,L07,1,CRUCERO 1,2006/05/07,2006,MAYO,Cholga,#N/A,SIN MUESTRA
10,L08,1,CRUCERO 1,2006/05/05,2006,MAYO,Almeja,+,POSITIVO
10,L09,1,CRUCERO 1,2006/05/05,2006,MAYO,Almeja,-,NEGATIVO
10,L10,1,CRUCERO 1,2006/05/06,2006,MAYO,Cholga,+,POSITIVO
10,L10N1,1,CRUCERO 1,2006/05/06,2006,MAYO,Almeja,-,NEGATIVO
10,L10N2,1,CRUCERO 1,2006/05/06,2006,MAYO,Almeja,#N/A,SIN MUESTRA
10,L10N3,1,CRUCERO 1,#N/A,#N/A,#N/A,Almeja,#N/A,SIN MUESTRA
10,L11,1,CRUCERO 1,2006/05/07,2006,MAYO,Chorito,+,POSITIVO
10,L12,1,CRUCERO 1,2006/05/07,2006,MAYO,Almeja,+,POSITIVO
10,L13,1,CRUCERO 1,2006/05/07,2006,MAYO,Almeja,+,POSITIVO
10,L14,1,CRUCERO 1,2006/05/06,2006,MAYO,Almeja,+,POSITIVO
10,L15,1,CRUCERO 1,2006/05/03,2006,MAYO,Chorito,-,NEGATIVO
10,L16,1,CRUCERO 1,2006/05/09,2006,MAYO,Almeja,+,POSITIVO
10,L17,1,CRUCERO 1,2006/05/09,2006,MAYO,Cholga,-,NEGATIVO
10,L18,1,CRUCERO 1,2006/05/03,2006,MAYO,Chorito,-,NEGATIVO
10,L18N1,1,CRUCERO 1,2006/05/03,2006,MAYO,Chorito,-,NEGATIVO
10,L18N2,1,CRUCERO 1,2006/05/03,2006,MAYO,Chorito,-,NEGATIVO
10,L04N1,1,CRUCERO 1,2006/05/03,2006,MAYO,Chorito,-,NEGATIVO
10,L19,1,CRUCERO 1,2006/05/08,2006,MAYO,Almeja,-,NEGATIVO
10,L19N1,1,CRUCERO 1,2006/05/11,2006,MAYO,Almeja,-,NEGATIVO
10,L19N2,1,CRUCERO 1,2006/05/11,2006,MAYO,Chorito,+,POSITIVO
10,L20,1,CRUCERO 1,2006/05/11,2006,MAYO,Almeja,-,NEGATIVO
10,L21,1,CRUCERO 1,#N/A,#N/A,#N/A,SIN MUESTRA,#N/A,SIN MUESTRA
10,L21N1,1,CRUCERO 1,#N/A,#N/A,#N/A,SIN MUESTRA,#N/A,SIN MUESTRA
10,L22,1,CRUCERO 1,2006/05/12,2006,MAYO,Almeja,-,NEGATIVO
10,L23,1,CRUCERO 1,2006/05/12,2006,MAYO,Almeja,+,POSITIVO
10,L24,1,CRUCERO 1,2006/05/12,2006,MAYO,Almeja,+,POSITIVO
10,L25,1,CRUCERO 1,#N/A,#N/A,#N/A,Almeja,#N/A,SIN MUESTRA
11,A01,1,CRUCERO 1,2006/05/12,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A02,1,CRUCERO 1,2006/05/13,2006,MAYO,Cholga,+,POSITIVO
11,A04,1,CRUCERO 1,2006/05/17,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A05,1,CRUCERO 1,2006/05/14,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A06,1,CRUCERO 1,2006/05/18,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A07,1,CRUCERO 1,2006/05/18,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A08,1,CRUCERO 1,2006/05/18,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A09,1,CRUCERO 1,2006/05/18,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A10,1,CRUCERO 1,2006/05/18,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A11,1,CRUCERO 1,2006/05/18,2006,MAYO,Cholga,-,NEGATIVO
11,A12,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A13,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A14,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,-,NEGATIVO
11,A15,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,-,NEGATIVO
11,A16,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,-,NEGATIVO
11,A17,1,CRUCERO 1,2006/05/19,2006,MAYO,Cholga,#N/A,SIN MUESTRA
11,A18,1,CRUCERO 1,2006/05/21,2006,MAYO,Cholga,#N/A,SIN MUESTRA
